videoId,title_sentiment,description_sentiment
5IzBFsNCGXQ,0.8143,0
ZGPbZ61hNGM,0.368,0.9382
wnO4Mkr4CHw,0,-0.7861
bxDXm376dec,0,0
e2nQ9pGxySA,0.7184,0.9966
fTfVt1dT6xA,0,0.9081
jgxTeU1nlF4,0,-0.968
G2e3aj6mOyU,0,0.4939
0HtA15c2q_c,0.4404,0
BEBvV0BDdm0,0,0
ZorDZxpPbOI,0.8126,0.9957
byZ7rYFkEpo,0.6369,0.9772
T9Qz8NI-KSg,0,0.9836
Rg8BUcrcYlU,0,0
ZX43NwA01IU,0,0
yUDlKjEfyDk,0.4404,0
ysEtEqsD6N8,0.7125,0.9468
-DQNDTEpt8M,0.7297,0.2342
9rG3HJdeCTY,0,0.8101
Tkt8H6_F0OA,0.2023,-0.3527
l6CB7UzV1I4,0,0
oSWEcuLiESQ,0,0.9518
wcczhjRYtvk,0,0.7003
qPM5Yfo6yk0,0.4796,0.9955
kCDZAjLSTMU,0.6369,0.8302
TtwaqKXeNio,0,-0.4939
moj5IMAXo8s,0,0
QvGdmQIFt5Q,0,0
4mjlB3YZKho,0,0.7293
ic4k6oljIJw,0,0.9269
xFtLpB5-mCM,0,0.8879
QEMimpfE9cM,0,-0.434
W6AUzU7mWIQ,0,0
f2XB6d4HFuc,0,0.9714
jj91_SWByMo,0.3182,0
yvl0OdHtUW4,0,0.8834
bbfFDbZYiWo,0,0.9794
N46Av0M7p6s,-0.4201,0.5719
hrkULGME0i4,0,0.9442
MKe4j-Yhjmc,0,0.9352
7m3E2jCEZaQ,0,0.4724
I-COthg-vqY,0,0.8225
QZVa78D5Y0Q,0,0
4YRY4RVLvEk,0.0772,0.836
SpA3cACjFJo,0.0772,0.836
Ynvq6pX_1qY,0.0772,0.836
NWRxlC-29EU,0.0772,0.836
SaTbEJeFeUc,0.2023,-0.1027
ddj_MIJxhKI,0.0772,0.836
rbqT4AGJjSU,0.0772,0.836
qg66WOdXqZA,0.0772,0.836
xtnrOT95uVU,0,0
W3wuNXAbJTQ,-0.4588,-0.4588
5vMu1bqmcn0,0,0
RqgHUXfkpjQ,0,0.4003
-gJU6gWobGk,0,0
9L-AXGlk8-4,0,0.9389
WtHLBXPJ1Uc,0,0
Vr5XPO0zgRQ,0,0.8834
d8rTBr2xAvs,0,0.8834
xighLiIxw-M,0.4404,0.9926
g3JUGIq7rtQ,0,0
gZcJJFpElPY,0,-0.6696
LeI1IA5loXc,0,0
urOPAcLV8YU,0,0
CtDc_IKy9X8,0,0
xB8JUPld6qo,0,0.4215
-NQxftIOXfo,0,0.6523
KKIPeqjpL2E,0,0.924
