channelId,channel_commentCount,channel_viewCount,channel_videoCount,channel_subscriberCount
UC0__JsQkHQcqdz-X_V6tYuQ,0,5617,8,46
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UCanC-yCs3G1goz3CxMvgVAg,3,2845156,561,15300
UC3wDJB2lteaS-730fHshhHg,0,2407871,30,3242
UCibhlri9bKbMl4Q36N3gXvg,0,6156,319,47
UCibhlri9bKbMl4Q36N3gXvg,0,6156,319,47
UCc2_j9TZ1UU9nCedF3UsuFQ,0,1829124582,173,1685699
UCuKGmUju3nMiCWQnLvXPNcg,66,43863141,63,187723
UCY30JRSgfhYXA6i6xX1erWg,1377627,6378445066,869,22623517
UCU8PFISdwVu66Zg4cyVbzsw,0,0,615,0
UCa5qeML93Hg37Ckn22pxdHA,149,688973739,2330,877515
UCTBjtACFlDmd-g6Gtva9biQ,474,37233307,447,520211
UCToZTtSLYLyRV5xwUcAa9Kg,0,175993106,8994,348279
UCe0X2OM65_rwTaZlUBu5ohg,0,4816981,64,58099
UCfiUh-Lj4wf5_-fMiEz9EhQ,0,2098058,136,26152
UCa_Jrr7f8XqzUPttLrm4GZA,0,48785,347,97
UCjZO5rUYPPAgCSOvHmkHU3A,0,889354,254,3702
UC4tQYFdQZpnW4nQemZCLeEQ,0,1541628,230,3691
UCibhlri9bKbMl4Q36N3gXvg,0,6156,319,47
UCibhlri9bKbMl4Q36N3gXvg,0,6156,319,47
UCibhlri9bKbMl4Q36N3gXvg,0,6156,319,47
UCibhlri9bKbMl4Q36N3gXvg,0,6156,319,47
UCANBW6ACWi9huiCfbKk1pbQ,1446,405503476,3215,2092005
UCGEAiAm7pBLTW2n3XSsE0JA,1085,179559475,226,1388450
UCUVa51UA_690sEKyRbHb-5A,0,338016199,432,882463
UChlj1xhT1TskfIGjVmP-6BA,1842,84896066,111,641404
UCBUVGPsJzc1U8SECMgBaMFw,0,2384997472,1121,5522152
UC5HVVdta3sX3MfZUcbNec5g,0,34346420,692,84244
UCzQKBmIaLsVClkmGtabSq4Q,0,48818502,281,262437
UCCBeR1kIDnEj8yexleTQlkw,0,7185421,137,23949
UCrVfgFVySFKFWealbpLZMuw,0,60394,9,372
UCCJ_1t1xHtks-cv1IU6EAWw,1605,808499630,25,1592527
UCymZXJzs1j7SfvacGZz04ng,1,19024159,48,103158
UC83knZByywVPh2Rsu9AuciQ,5,7826639,6,4133
UCDbF2q-rTRzNVwJbMkW5A6g,0,3889691,5,38842
UCUTXYARYwmf7XvVOU4qPUYw,0,62931470,91,565128
UC-7E1nG01ymuypsBm5E6aNg,0,2175000,120,17635
UC0OvQC3KvX1HnvbB1KV9XpA,0,7071639,5018,12418
UCusHVOGgmhrGWGCo1POBVPw,0,79359089,3514,0
UCopmyMbMOrJ_QdbE8wk9YYw,0,1295641,77,9174
UCLs4IKoo9ByJ3IQS6u0pRRw,0,4158779,60,35526
UCWlKcJbRwbAo6L6u601c6tg,0,10289591,198,174993
UC8d0BaJBPaAgee_IL8_Sd8g,0,35502043,29,100994
UCawNGTOMLE-vKxLo0amqFiA,1,37736517,107,106689
UCe_vXdMrHHseZ_esYUskSBw,560,1926905535,988,9727702
UCck0yJ4-tp_j6qHDhKJ1GqQ,20,87962218,410,185094
UCd1Em1-LmLiRwe1eGIUsYxw,1385,77469235,1865,168711
UCLs4IKoo9ByJ3IQS6u0pRRw,0,4158779,60,35526
UCAvBcst08Tfo4VNtIaRPTNw,0,87918778,1985,152489
UCFKCVxHR3roPbuPNfUGWAJA,0,19494092,87,329508
UCd2zzh2Lw2pBKgwIcKXlLNw,0,8733521,369,37478
